1	2	0	0	0.425	-0.79016923
1	2	0	1	0.425	-1.96614457
1	2	0	2	0.425	1.17548021
1	2	0	3	0.355	0.78066693
1	2	0	4	0.385	1.17552608
1	2	0	5	0.425	-0.79008955
1	2	1	0	0.425	-0.79008955
1	2	1	1	0.385	1.17552608
1	2	1	2	0.425	-1.96614457
1	2	1	3	0.425	-0.79016923
1	2	1	4	0.425	1.17548021
1	2	1	5	0.355	0.78066693
1	2	2	0	0.355	0.78066693
1	2	2	1	0.425	1.17548021
1	2	2	2	0.385	1.17552608
1	2	2	3	0.425	-0.79008955
1	2	2	4	0.425	-1.96614457
1	2	2	5	0.425	-0.79016923
1	2	3	0	0.385	1.17561399
1	2	3	1	0.425	-0.00036302
1	2	3	2	0.355	-1.57111951
1	2	3	3	0.425	1.17565986
1	2	3	4	0.425	-0.00028334
1	2	3	5	0.425	-1.96590065
1	2	4	0	0.425	-1.96590065
1	2	4	1	0.425	-0.00028334
1	2	4	2	0.425	-0.00036302
1	2	4	3	0.385	1.17561399
1	2	4	4	0.355	-1.57111951
1	2	4	5	0.425	1.17565986
1	2	5	0	0.425	1.17565986
1	2	5	1	0.355	-1.57111951
1	2	5	2	0.425	-0.00028334
1	2	5	3	0.425	-1.96590065
1	2	5	4	0.425	-0.00036302
1	2	5	5	0.385	1.17561399
1	3	0	0	0.425	0.75903421
1	3	0	1	0.425	-1.3352812
1	3	0	2	0.425	0.54523692
1	3	0	3	0.355	-1.85891982
1	3	0	4	0.425	1.59240234
1	3	0	5	0.385	-0.50203863
1	3	1	0	0.425	-1.3352812
1	3	1	1	0.355	-1.85891982
1	3	1	2	0.425	1.59240234
1	3	1	3	0.425	0.75903421
1	3	1	4	0.385	-0.50203863
1	3	1	5	0.425	0.54523692
1	3	2	0	0.355	-1.85891982
1	3	2	1	0.425	0.75903421
1	3	2	2	0.385	-0.50203863
1	3	2	3	0.425	-1.3352812
1	3	2	4	0.425	0.54523692
1	3	2	5	0.425	1.59240234
1	3	3	0	0.385	1.67766303
1	3	3	1	0.425	-0.41677793
1	3	3	2	0.355	-0.10704841
1	3	3	3	0.425	0.63038748
1	3	3	4	0.425	-0.63068703
1	3	3	5	0.425	-2.72500245
1	3	4	0	0.425	-0.41677793
1	3	4	1	0.425	0.63038748
1	3	4	2	0.425	-0.63068703
1	3	4	3	0.385	1.67766303
1	3	4	4	0.425	-2.72500245
1	3	4	5	0.355	-0.10704841
1	3	5	0	0.425	0.63038748
1	3	5	1	0.385	1.67766303
1	3	5	2	0.425	-2.72500245
1	3	5	3	0.425	-0.41677793
1	3	5	4	0.355	-0.10704841
1	3	5	5	0.425	-0.63068703
2	3	0	0	0.385	0.50198431
2	3	0	1	0.425	-0.54513523
2	3	0	2	0.355	1.85890866
2	3	0	3	0.425	-1.59236491
2	3	0	4	0.425	-0.75912505
2	3	0	5	0.425	1.33534973
2	3	1	0	0.425	2.72520204
2	3	1	1	0.355	0.10716831
2	3	1	2	0.425	-0.63038043
2	3	1	3	0.425	0.63072725
2	3	1	4	0.385	-1.67749998
2	3	1	5	0.425	0.41684924
2	3	2	0	0.355	0.10716831
2	3	2	1	0.425	0.63072725
2	3	2	2	0.385	-1.67749998
2	3	2	3	0.425	2.72520204
2	3	2	4	0.425	0.41684924
2	3	2	5	0.425	-0.63038043
2	3	3	0	0.425	-0.54513523
2	3	3	1	0.425	-1.59236491
2	3	3	2	0.425	-0.75912505
2	3	3	3	0.385	0.50198431
2	3	3	4	0.425	1.33534973
2	3	3	5	0.355	1.85890866
2	3	4	0	0.425	0.63072725
2	3	4	1	0.425	2.72520204
2	3	4	2	0.425	0.41684924
2	3	4	3	0.355	0.10716831
2	3	4	4	0.425	-0.63038043
2	3	4	5	0.385	-1.67749998
2	3	5	0	0.425	-1.59236491
2	3	5	1	0.385	0.50198431
2	3	5	2	0.425	1.33534973
2	3	5	3	0.425	-0.54513523
2	3	5	4	0.355	1.85890866
2	3	5	5	0.425	-0.75912505
